record.id	node.id	part_age	cont_age	w	m	c
1004	968	35	8	200332	0.184908689594221	9.2301124929727e-07
1005	969	36	8	200332	0.21061505978746	1.05133009098626e-06
1006	970	37	8	200332	0.240585111189029	1.20093200881052e-06
1007	971	38	8	200332	0.264782098089274	1.32171644115405e-06
1008	972	39	8	200332	0.267564642473763	1.33560610623247e-06
1009	973	40	8	200332	0.258841763348569	1.29206399051859e-06
1010	974	41	8	200332	0.239997706196876	1.19799985123134e-06
1011	975	42	8	200332	0.21367041650548	1.06658155714254e-06
1012	976	43	8	200332	0.183271592594463	9.14839329685036e-07
1013	977	44	8	200332	0.157377274675266	7.85582306747129e-07
1014	978	45	8	200332	0.141861203098539	7.08130518831435e-07
1015	979	46	8	200332	0.133102946364981	6.64411808223256e-07
1016	980	47	8	200332	0.128146865804557	6.39672472718074e-07
1017	981	48	8	200332	0.118860931829031	5.9331974836287e-07
1018	982	49	8	200332	0.105773064033179	5.2798885866052e-07
1019	983	50	8	200332	0.0899568039466827	4.49038615631466e-07
1020	984	51	8	200332	0.0747697176231927	3.732290279296e-07
1021	985	52	8	200332	0.0627257220888596	3.13108849753707e-07
1022	986	53	8	200332	0.0554174563571697	2.76628079174419e-07
1023	987	54	8	200332	0.051654937852975	2.57846663802962e-07
1024	988	55	8	200332	0.0494789729133406	2.46984869683029e-07
1025	989	56	8	200332	0.0479031902196673	2.39119013535867e-07
1026	990	57	8	200332	0.0473468653986383	2.36341999274396e-07
1027	991	58	8	200332	0.0477852147180522	2.38530113601682e-07
1028	992	59	8	200332	0.0494458079088056	2.46819319473701e-07
1029	993	60	8	200332	0.0516374209357795	2.57759224366449e-07
1030	994	61	8	200332	0.0544127132904708	2.7161268938797e-07
1031	995	62	8	200332	0.0554118491729401	2.76600089715772e-07
1032	996	63	8	200332	0.0561611936345713	2.80340602772255e-07
1033	997	64	8	200332	0.0564578277884952	2.81821315558648e-07
1034	998	65	8	200332	0.0576836926842968	2.87940482220997e-07
1035	999	66	8	200332	0.0585184298005146	2.92107250965969e-07
1036	1000	67	8	200332	0.058934299014526	2.941831510419e-07
1037	1001	68	8	200332	0.0590589744264943	2.94805495010754e-07
1038	1002	69	8	200332	0.059016550654784	2.94593727685961e-07
1039	1003	70	8	200332	0.0592336803911544	2.95677577177657e-07
1040	1004	71	8	200332	0.0595175600131548	2.97094622991608e-07
1041	1005	72	8	200332	0.0581808283736755	2.90422041279853e-07
1042	1006	73	8	200332	0.0547879240086542	2.73485633891012e-07
1043	1007	74	8	200332	0.0494581813605316	2.46881084202881e-07
1044	1008	75	8	200332	0.0426493536131722	2.12893365079828e-07
